Unnamed: 0,Rank,Name,Age,Team,Positions,Value,original_key,FRP,SRP
0,1,Victor Wembanyama,20.9,SA,C,9998.08,2577,,
1,2,Shai Gilgeous-Alexander,26.4,OKC,PG,9996.16,1957,,
2,3,Luka Doncic,25.7,DAL,"PG,SG",9994.24,1970,,
3,4,Nikola Jokic,29.8,DEN,C,9992.32,1658,,
4,5,Chet Holmgren,22.6,OKC,"PF,C",9990.4,2455,,
5,6,Jayson Tatum,26.7,BOS,"SF,PF",9701.76318,1822,,
6,7,Tyrese Haliburton,24.7,IND,"PG,SG",9369.104018,2161,,
7,8,Cade Cunningham,23.2,DET,"PG,SG",9080.941545,2267,,
8,9,Trae Young,26.2,ATL,PG,8826.76423,1945,,
9,10,Scottie Barnes,23.3,TOR,"SG,SF,PF",8599.394874,2289,,
10,11,Anthony Edwards,23.3,MIN,"SG,SF",8393.714273,2133,,
11,12,Giannis Antetokounmpo,30,MIL,"PF,C",8205.942595,1380,,
12,13,LaMelo Ball,23.3,CHA,"PG,SG",8033.209396,2179,,
13,14,Devin Booker,28.1,PHO,"PG,SG",7873.283433,1648,,
14,15,Evan Mobley,23.4,CLE,"PF,C",7724.395924,2259,,
15,16,Alperen Sengün,22.3,HOU,C,7585.12096,2308,,
16,17,Jalen Williams,23.6,OKC,"SG,SF,PF,C",7454.292242,2453,,
17,18,Tyrese Maxey,24.1,PHI,"PG,SG",7330.943645,2126,,
18,19,Donovan Mitchell,28.2,CLE,"PG,SG",7214.265882,1845,,
19,20,Jaren Jackson Jr.,25.2,MEM,"PF,C",7103.574289,1924,,
20,21,Anthony Davis,31.7,LAL,"PF,C",6998.284483,1272,,
21,22,Paolo Banchero,22,ORL,"SF,PF",6897.893688,2458,,
22,23,Jalen Johnson,22.9,ATL,PF,6801.966209,2284,,
23,24,Karl-Anthony Towns,29,NY,"PF,C",6710.12201,1613,,
24,25,Joel Embiid,30.7,PHI,C,6622.027618,1511,,
25,26,Domantas Sabonis,28.6,SAC,C,6537.388811,1739,,
26,27,De'Aaron Fox,26.9,SAC,PG,6455.944695,1872,,
27,28,Darius Garland,24.8,CLE,PG,6377.462848,2007,,
28,29,Bam Adebayo,27.4,MIA,C,6301.735326,1846,,
29,30,Franz Wagner,23.3,ORL,"SF,PF",6228.575339,2304,,
30,31,Lauri Markkanen,27.5,UTA,"SF,PF",6157.814477,1752,,
31,32,Ja Morant,25.3,MEM,PG,6089.300375,2040,,
32,33,Jalen Brunson,28.2,NY,PG,6022.894738,1967,,
33,34,Jamal Murray,27.8,DEN,"PG,SG",5958.471657,1747,,
34,35,Desmond Bane,26.4,MEM,"SG,SF",5895.916177,2143,,
35,36,Zion Williamson,24.4,NO,"PF,C",5835.12306,2054,,
36,37,Stephen Curry,36.7,GS,"PG,SG",5775.995719,1085,,
37,38,Kyrie Irving,32.7,DAL,"PG,SG",5718.445297,1054,,
38,39,Jaylen Brown,28.1,BOS,"SG,SF",5662.389861,1711,,
39,40,Brandon Miller,22,CHA,"SG,SF",5607.753704,2568,,
40,41,Dejounte Murray,28.2,NO,"PG,SG",5554.466726,1713,,
41,42,James Harden,35.3,LAC,"PG,SG",5502.463898,1240,,
42,43,Myles Turner,28.7,IND,C,5451.68478,1595,,
43,44,Damian Lillard,34.4,MIL,PG,5402.073103,1444,,
44,45,Immanuel Quickley,25.4,TOR,"PG,SG",5353.576389,2157,,
45,46,Jordan Poole,25.4,WAS,"PG,SG",5306.145624,2012,,
46,47,Devin Vassell,24.3,SA,"SG,SF",5259.734955,2146,,
47,48,Amen Thompson,21.8,HOU,"SG,SF",5214.301425,2574,,
48,49,Nicolas Claxton,25.6,BKN,C,5169.804737,2032,,
49,50,Paul George,34.6,PHI,"SG,SF,PF",5126.207033,1074,,
50,51,Tyler Herro,24.9,MIA,"PG,SG",5083.472707,2086,,
51,52,Fred VanVleet,30.8,HOU,PG,5041.568226,1717,,
52,53,Pascal Siakam,30.7,IND,"SF,PF",5000.461975,1716,,
53,54,Kevin Durant,36.2,PHO,"SF,PF",4960.12411,1433,,
54,55,Jarrett Allen,26.6,CLE,C,4920.526431,1787,,
55,56,Mikal Bridges,28.2,NY,"SG,SF,PF",4881.642263,1975,,
56,57,Anfernee Simons,25.5,POR,"PG,SG",4843.446347,1983,,
57,58,Jalen Duren,21,DET,C,4805.914741,2438,,
58,59,Deandre Ayton,26.3,POR,C,4769.024733,1974,,
59,60,Josh Giddey,22.1,CHI,"PG,SG,SF",4732.754754,2313,,
60,61,Kristaps Porzingis,29.3,BOS,"PF,C",4697.084306,1590,,
61,62,Brandon Ingram,27.2,NO,"SG,SF,PF",4661.993892,1698,,
62,63,OG Anunoby,27.4,NY,"SF,PF",4627.464948,1831,,
