,id,Name
0,4432932,Max Abmas
1,4431679,Precious Achiuwa
2,2991235,Steven Adams
3,4066261,Bam Adebayo
4,4397018,Ochai Agbaji
5,5211981,Melvin Ajinca
6,4397072,James Akinjo
7,4593125,Santi Aldama
8,4433268,Trey Alexander
9,4278039,Nickeil Alexander-Walker
10,3135045,Grayson Allen
11,4066328,Jarrett Allen
12,4277869,Jose Alvarado
13,2993874,Kyle Anderson
14,3032977,Giannis Antetokounmpo
15,3102533,Thanasis Antetokounmpo
16,4432809,Cole Anthony
17,3934719,OG Anunoby
18,4406489,Adonis Arms
19,4683021,Deni Avdija
20,4278129,Deandre Ayton
21,4066299,Udoka Azubuike
22,4431674,Armando Bacot
23,4871140,Ibou Badji
24,4277848,Marvin Bagley III
25,5105638,Amari Bailey
26,4066830,Robert Baker II
27,4433246,Patrick Baldwin Jr.
28,4432816,LaMelo Ball
29,4066421,Lonzo Ball
30,4277919,Mo Bamba
31,4432573,Paolo Banchero
32,4066320,Desmond Bane
33,4397885,Dalano Banton
34,4870562,Dominick Barlow
35,6578,Harrison Barnes
36,4433134,Scottie Barnes
37,4395625,RJ Barrett
38,4397886,Charles Bassey
39,4433620,Emoni Bates
40,3136779,Keita Bates-Diop
41,4431893,Jamison Battle
42,3416,Nicolas Batum
43,4431766,Damion Baugh
44,4423545,Darius Bazley
45,6580,Bradley Beal
46,3907822,Malik Beasley
47,4432179,MarJon Beauchamp
48,4565203,Charles Bediako
49,4432187,Reece Beekman
50,4397127,Jules Bernard
51,6426,Davis Bertans
52,3964,Patrick Beverley
53,4397136,Saddiq Bey
54,4348700,Goga Bitadze
55,4438552,Onuralp Bitim
56,6427,Bismack Biyombo
57,4712849,Anthony Black
58,4395650,Leaky Black
59,4395676,Buddy Boeheim
60,3037789,Bogdan Bogdanovic
61,3593,Bojan Bogdanovic
62,4397102,Bol Bol
63,4065652,Marques Bolden
64,5105637,Adem Bona
65,3136193,Devin Booker
66,4432162,Brandon Boston Jr.
67,3948153,Chris Boucher
68,4280245,Jamaree Bouyea
69,4066213,Jordan Bowden
70,4065673,Tony Bradley
71,4565201,Malaki Branham
72,4431767,Christian Braun
73,4432946,Jalen Bridges
74,3147657,Mikal Bridges
75,4066383,Miles Bridges
76,4278031,Oshae Brissett
77,4278412,Izaiah Brockington
78,2566769,Malcolm Brogdon
79,3155526,Dillon Brooks
80,4431689,Keion Brooks Jr.
81,4065670,Bruce Brown
82,3917376,Jaylen Brown
83,4433254,Kendall Brown
84,4431752,Kobe Brown
85,4397126,Moses Brown
86,4432161,Greg Brown III
87,4066508,Charlie Brown Jr.
88,4278508,Troy Brown Jr.
89,3934672,Jalen Brunson
90,3934723,Thomas Bryant
91,4683736,Kobe Bufkin
92,4592712,Boo Buie
93,2528779,Reggie Bullock Jr.
94,6429,Alec Burks
95,4395695,Jared Butler
96,6430,Jimmy Butler
97,4432588,John Butler Jr.
98,4711294,Matas Buzelis
99,4278572,Jamal Cain
100,2581018,Kentavious Caldwell-Pope
101,4431736,Toumani Camara
102,4230557,Vlatko Cancar
103,3102529,Clint Capela
104,4592435,Branden Carlson
105,4845374,Carlton Carrington
106,4433188,Devin Carter
107,3133635,Jevon Carter
108,4277847,Wendell Carter Jr.
109,4432820,D.J. Carton
110,2991350,Alex Caruso
111,4845367,Stephon Castle
112,4397204,Colin Castleton
113,4592479,Julian Champagnie
114,4432907,Justin Champagnie
115,4432646,Kennedy Chandler
116,4431925,Jamir Chaplin
117,3137713,Zylan Cheatham
118,5211984,Ulrich Chomche
119,4845363,Cam Christie
120,4432582,Max Christie
121,4432168,Josh Christopher
122,5081727,Sidy Cissoko
123,4432247,Jaylen Clark
