#,PLAYER,Team,Positions,Age,Value,Name,original_key,metadata,injury_body_part,depth_chart_order,sportradar_id,team_abbr,oddsjam_id,birth_date,active,stats_id,search_last_name,espn_id,full_name,search_rank,years_exp,player_id,fantasy_data_id,kalshi_id,yahoo_id,practice_participation,injury_start_date,depth_chart_position,injury_notes,status,gsis_id,competitions,age,practice_description,news_updated,hashtag,player_shard,last_name,birth_city,rotoworld_id,weight,team_changed_at,injury_status,sport,fantasy_positions,birth_country,team,opta_id,height,swish_id,college,search_full_name,first_name,high_school,position,pandascore_id,rotowire_id,birth_state,search_first_name,number,id,fullName,experience
0,Victor Wembanyama,SA,C,21.8,9998.08,Victor Wembanyama,2577,{'channel_id': '1113936516712759296'},,1.0,98e2cdeb-69dc-499c-a853-84c32c714924,,ECE70FF020E8,2004-01-04,True,,wembanyama,,Victor Wembanyama,2.0,2.0,2577,20003031.0,b269496a-6cdf-466d-aa1a-c648b20591ae,,,,C,,ACT,,[],21.0,,1762446004045.0,#victorwembanyama-NBA-SAS-1,0,Wembanyama,,,235,,,nba,['C'],,SAS,,88,1373356.0,,victorwembanyama,Victor,,C,,5809.0,,victor,1.0,5104157,Victor Wembanyama,2.0
1,Luka Doncic,LAL,"PG,SG",26.7,9996.16,Luka Doncic,1970,{'channel_id': '1113936529186619392'},,1.0,d2ee92e9-3e72-45eb-b156-2dc5adc1e6f7,,3E8718868C56,1999-02-28,True,,doncic,,Luka Dončić,3.0,7.0,1970,20001984.0,008856e0-b1ab-47f1-8df7-06e243f5f000,,,,PG,,ACT,,[],26.0,,1762425601934.0,#lukadoncic-NBA-LAL-77,9,Dončić,,,230,,,nba,['PG'],,LAL,,80,1121277.0,,lukadoncic,Luka,,PG,,4396.0,,luka,77.0,3945274,Luka Doncic,7.0
2,Cade Cunningham,DET,"PG,SG",24.1,9994.24,Cade Cunningham,2267,{'channel_id': '1113936497972609024'},,1.0,57d55cd4-6ab8-4255-a248-bef800c0cbab,,72F133EEC33F,2001-09-25,True,,cunningham,,Cade Cunningham,6.0,4.0,2267,20002667.0,0a8c3059-aa64-4871-8291-fff857a201af,,,,PG,,ACT,,[],24.0,,1762397458586.0,#cadecunningham-NBA-DET-2,8,Cunningham,,,220,,,nba,"['PG', 'SG']",,DET,,78,1232182.0,Oklahoma State,cadecunningham,Cade,Montverde Academy (FL),PG,,5336.0,,cade,2.0,4432166,Cade Cunningham,4.0
3,Shai Gilgeous-Alexander,OKC,PG,27.3,9992.32,Shai Gilgeous-Alexander,1957,{'channel_id': '1113936532856635392'},,1.0,d9ea4a8f-ff51-408d-b518-980efc2a35a1,,4D75B4BFBA80,1998-07-12,True,,gilgeousalexander,,Shai Gilgeous-Alexander,4.0,7.0,1957,20001999.0,b40547da-b4d9-4d33-b795-32595ef9c473,,,,PG,,ACT,,[],27.0,,1762447804340.0,#shaigilgeousalexander-NBA-OKC-2,5,Gilgeous-Alexander,,,195,,,nba,['PG'],,OKC,,78,1067856.0,Kentucky,shaigilgeousalexander,Shai,Hamilton Heights Christian (TN),PG,,4387.0,,shai,2.0,4278073,Shai Gilgeous-Alexander,7.0
4,Nikola Jokic,DEN,C,30.7,9990.4,Nikola Jokic,1658,"{'channel_id': '1113936538149847040', 'fantasy_positions': 'C,PF'}",,1.0,f2625432-3903-4f90-9b0b-2e4f63856bb0,,B0E86DA61165,1995-02-19,True,,jokic,,Nikola Jokić,1.0,10.0,1658,20001441.0,7471d123-d5ac-4ab7-a1ed-01d3a0d00ee6,,,,C,,ACT,,[],30.0,,1762447204051.0,#nikolajokic-NBA-DEN-15,4,Jokić,,,284,,,nba,['C'],,DEN,,83,830650.0,,nikolajokic,Nikola,,C,,3612.0,,nikola,15.0,3112335,Nikola Jokic,10.0
5,Anthony Edwards,MIN,"PG,SG",24.3,9701.763180038326,Anthony Edwards,2133,"{'channel_id': '1113936503915937792', 'fantasy_positions': 'PG,SF,SG'}",,1.0,d0c7135a-1aea-40cb-ba20-df656de71749,,D80D18FD953C,2001-08-05,True,,edwards,,Anthony Edwards,7.0,5.0,2133,20002523.0,36ea9bc5-23b0-4274-9c6c-cd8a07b1b654,,,,SG,,ACT,,[],24.0,,1762539007269.0,#anthonyedwards-NBA-MIN-5,5,Edwards,,,225,,,nba,"['PG', 'SG']",,MIN,,76,1175367.0,Georgia,anthonyedwards,Anthony,Holy Spirit Prep (GA),SG,,5110.0,,anthony,5.0,4594268,Anthony Edwards,5.0
6,Cooper Flagg,DAL,"PG,SF",18.9,9369.104018261305,Cooper Flagg,4760,{'channel_id': '1243819697187590144'},,1.0,1d323a11-1758-4975-ba6f-1a03b7a2157c,,,2006-12-21,True,,flagg,,Cooper Flagg,41.0,0.0,4760,20003444.0,3b4ac2be-e186-4c72-a906-b7276d76422d,,,,SG,,ACT,,[],18.0,,1762446604159.0,#cooperflagg-NBA-DAL-32,7,Flagg,,,205,,,nba,"['PG', 'SF', 'SG']",,DAL,,81,,Duke,cooperflagg,Cooper,Montverde Academy (FL),SF,,6548.0,,cooper,32.0,5041939,Cooper Flagg,0.0
7,Paolo Banchero,ORL,"PF,C",23.0,9080.941545081365,Paolo Banchero,2458,{'channel_id': '1113936538497974272'},,1.0,49d8f5ef-2867-4597-a3ab-5ffc5e651258,,D60B4AB76311,2002-11-12,True,,banchero,,Paolo Banchero,12.0,3.0,2458,20002863.0,2df6129b-493e-48d1-a53f-1f97d74696b1,,,,PF,,ACT,,[],22.0,,1762368921715.0,#paolobanchero-NBA-ORL-5,9,Banchero,,,250,,,nba,['PF'],,ORL,,82,1323993.0,Duke,paolobanchero,Paolo,O'Dea (WA),PF,,5700.0,,paolo,5.0,4432573,Paolo Banchero,3.0
8,Amen Thompson,HOU,"PG,SG,SF",22.8,8826.764230022407,Amen Thompson,2574,{'channel_id': '1113936509855072256'},,1.0,b8b323c1-5691-43a4-9c48-707531803d6a,,1FABAEE9E467,2003-01-30,True,,thompson,,Amen Thompson,29.0,2.0,2574,20003034.0,a7a8f83d-04d7-4b6f-aa3d-f50e09d9226b,,,,PG,,ACT,,[],22.0,,1762478402651.0,#amenthompson-NBA-HOU-1,1,Thompson,,,200,,,nba,"['PG', 'SF', 'SG']",,HOU,,79,1429337.0,,amenthompson,Amen,Pine Crest (FL),SG,,5931.0,,amen,1.0,4684740,Amen Thompson,2.0
9,Alperen Sengün,HOU,"PF,C",23.3,8599.394873867746,Alperen Sengun,2308,{'channel_id': '1113936508852633600'},,1.0,47ff78e7-5607-48d6-9c1a-bddb075dbe70,,C4ABEA8F1F92,2002-07-25,True,,sengun,,Alperen Sengun,14.0,4.0,2308,20002666.0,91e0c839-f764-41cc-b787-01591de2775f,,,,C,,ACT,,[],23.0,,1762478102768.0,#alperensengun-NBA-HOU-28,7,Sengun,,,243,,,nba,"['C', 'PF']",,HOU,,83,1323508.0,,alperensengun,Alperen,,C,,5404.0,,alperen,28.0,4871144,Alperen Sengun,4.0
10,Scottie Barnes,TOR,"SG,SF,PF",24.3,8393.714272536286,Scottie Barnes,2289,{'channel_id': '1113936517715197952'},,1.0,1738927f-6ef3-4b23-921d-168b4371f917,,0497CAEAD35C,2001-08-01,True,,barnes,,Scottie Barnes,26.0,4.0,2289,20002662.0,fb9a7f9e-8a0c-4e90-94e8-051dea709bef,,,,PF,,ACT,,[],24.0,,1762374322388.0,#scottiebarnes-NBA-TOR-4,6,Barnes,,,237,,,nba,"['PF', 'SF']",,TOR,,80,1251666.0,Florida State,scottiebarnes,Scottie,Montverde Academy (FL),PF,,5390.0,,scottie,4.0,4433134,Scottie Barnes,4.0
11,Tyrese Haliburton,IND,"PG,SG",25.7,8205.942595065448,Tyrese Haliburton,2161,{'channel_id': '1113936490758406144'},Achilles,9.0,254e42d7-df01-4c68-9264-bca06c83c2c1,,5CB1BEE178F7,2000-02-29,True,,haliburton,,Tyrese Haliburton,177.0,5.0,2161,20002537.0,,,,,PG,Surgery,ACT,,[],25.0,,1757539250820.0,#tyresehaliburton-NBA-IND-0,4,Haliburton,,,185,,IR,nba,"['PG', 'SG']",,IND,,77,1132825.0,Iowa State,tyresehaliburton,Tyrese,Oshkosh North (WI),PG,,5114.0,,tyrese,0.0,4396993,Tyrese Haliburton,5.0
12,Jalen Johnson,ATL,"SF,PF",23.9,8033.209396153318,Jalen Johnson,2284,{'channel_id': '1113936512010944512'},,1.0,d222539f-fa52-4070-807f-d3aba372f46d,,4844268304BB,2001-12-18,True,,johnson,,Jalen Johnson,35.0,4.0,2284,20002657.0,aad8a908-c093-4a62-bf38-d6c5bc8a40f5,,,,PF,,ACT,,[],23.0,,1762138802312.0,#jalenjohnson-NBA-ATL-1,6,Johnson,,,219,,,nba,['PF'],,ATL,,80,1230356.0,Duke,jalenjohnson,Jalen,Nicolet (WI),PF,,5329.0,,jalen,1.0,4701230,Jalen Johnson,4.0
13,Chet Holmgren,OKC,"PF,C",23.5,7873.283433288427,Chet Holmgren,2455,{'channel_id': '1113936532961492992'},,1.0,eb91a4c8-1a8a-46bf-86e6-e16950b67ef6,,DC2FB289EB4C,2002-05-01,True,,holmgren,,Chet Holmgren,47.0,2.0,2455,20002870.0,ab4c4761-e0eb-4c04-b4b6-b61fa2e7e9ed,,,,PF,,ACT,,[],23.0,,1762515005645.0,#chetholmgren-NBA-OKC-7,6,Holmgren,,,208,,,nba,"['C', 'PF']",,OKC,,85,1343009.0,Gonzaga,chetholmgren,Chet,Minnehaha Academy (MN),C,,5697.0,,chet,7.0,4433255,Chet Holmgren,2.0
14,Jayson Tatum,BOS,"SF,PF",27.7,7724.395923851828,Jayson Tatum,1822,{'channel_id': '1113936514590441472'},Achilles,5.0,98136da3-452f-49dc-a794-1ee9c76443f2,,944B6D4B694A,1998-03-03,True,,tatum,,Jayson Tatum,105.0,8.0,1822,20001829.0,,,,,PF,Surgery,ACT,,[],27.0,,1760028346306.0,#jaysontatum-NBA-BOS-0,6,Tatum,,,210,,Out,nba,"['PF', 'SF']",,BOS,,80,937647.0,Duke,jaysontatum,Jayson,Chaminade College Prep (MO),SF,,4108.0,,jayson,0.0,4065648,Jayson Tatum,8.0
15,Giannis Antetokounmpo,MIL,"PF,C",30.9,7585.1209601084865,Giannis Antetokounmpo,1380,"{'channel_id': '1113936526753923072', 'fantasy_positions': 'PF', 'injury_override_regular_2024_17': 'Out'}",,1.0,6c60282d-165a-4cba-8e5a-4f2d9d4c5905,,DD8C4485A3FE,1994-12-06,True,,antetokounmpo,,Giannis Antetokounmpo,5.0,12.0,1380,20000497.0,6c376ad3-bb8c-499d-9745-f87b60e40d66,,,,PF,,ACT,,[],30.0,,1762374322406.0,#giannisantetokounmpo-NBA-MIL-34,9,Antetokounmpo,,,243,,,nba,"['C', 'PF']",,MIL,,83,739957.0,,giannisantetokounmpo,Giannis,,PF,,3456.0,,giannis,34.0,3032977,Giannis Antetokounmpo,12.0
16,Evan Mobley,CLE,"PF,C",24.4,7454.292241746013,Evan Mobley,2259,{'channel_id': '1113936490074734592'},,1.0,d64b602e-45f2-4ba9-878b-0a4f7210ec77,,95BA3C74998C,2001-06-18,True,,mobley,,Evan Mobley,25.0,4.0,2259,20002669.0,e6212176-2793-4f9a-8e1b-7d294eca2787,,,,PF,,ACT,,[],24.0,,1762443602991.0,#evanmobley-NBA-CLE-4,4,Mobley,,,215,,,nba,"['C', 'PF']",,CLE,,83,1231862.0,USC,evanmobley,Evan,Rancho Christian School (CA),C,,5355.0,,evan,4.0,4432158,Evan Mobley,4.0
17,Franz Wagner,ORL,"SF,PF",24.2,7330.94364504953,Franz Wagner,2304,{'channel_id': '1113936538607026176'},,1.0,514fd4aa-5384-4bc7-a670-367a426ca235,,006B2F3541DF,2001-08-27,True,,wagner,,Franz Wagner,31.0,4.0,2304,20002654.0,0432f2e8-9b8e-4324-a15d-c40aa0c79842,,,,SF,,ACT,,[],24.0,,1762089958650.0,#franzwagner-NBA-ORL-22,2,Wagner,,,220,,,nba,"['PF', 'SF', 'SG']",,ORL,,82,1178131.0,Michigan,franzwagner,Franz,,SF,,5370.0,,franz,22.0,4566434,Franz Wagner,4.0
18,Jalen Williams,OKC,"SF,PF",24.6,7214.265881918432,Jalen Williams,2453,{'channel_id': '1113936531740950528'},Wrist,1.0,62c44a90-f280-438a-9c7e-252f4f376283,,7935817DC4F2,2001-04-14,True,,williams,,Jalen Williams,28.0,3.0,2453,20002896.0,3b28a1f7-2ebd-41f5-b0e3-2a150e302b92,,,,SF,Surgery,ACT,,[],24.0,,1761944747225.0,#jalenwilliams-NBA-OKC-8,4,Williams,,,211,,Out,nba,"['PF', 'SF', 'SG']",,OKC,,77,1182404.0,Santa Clara,jalenwilliams,Jalen,Perry (AZ),SF,,5687.0,,jalen,8.0,4593803,Jalen Williams,3.0
19,Josh Giddey,CHI,"PG,SG",23.1,7103.574288894868,Josh Giddey,2313,{'channel_id': '1113936485234507776'},,1.0,66ea876a-1cc9-47ed-ae31-2ed3c8f9350e,,7F24EA14A2B8,2002-10-10,True,,giddey,,Josh Giddey,31.0,4.0,2313,20002665.0,a4baed3c-0021-407e-8448-a298594c2a83,,,,PG,,ACT,,[],23.0,,1762373122262.0,#joshgiddey-NBA-CHI-3,7,Giddey,,,216,,,nba,['PG'],,CHI,,79,1323503.0,,joshgiddey,Josh,,PG,,5366.0,,josh,3.0,4871145,Josh Giddey,4.0
20,Tyrese Maxey,PHI,PG,25.0,6998.284483272509,Tyrese Maxey,2126,{'channel_id': '1113936494617165824'},,1.0,75fc46eb-71d8-4d1a-984f-3747ccd7a4c9,,7879697610D8,2000-11-04,True,,maxey,,Tyrese Maxey,23.0,5.0,2126,20002546.0,90456e7e-47d2-483c-afe5-b6bacec17b2f,,,,PG,,ACT,,[],25.0,,1762409160473.0,#tyresemaxey-NBA-PHI-0,3,Maxey,,,200,,,nba,['PG'],,PHI,,74,1186160.0,Kentucky,tyresemaxey,Tyrese,South Garland (TX),PG,,5158.0,,tyrese,0.0,4431678,Tyrese Maxey,5.0
