Name,player_id,sport,number,active,depth_chart_position,age,birth_day,status,birth_city,years_exp,depth_chart_order,height,weight,college,team,position,cleaned_name
Tyler Lydon,1875,nba,,True,,28.0,1996-04-09,FA,,2.0,,82.0,225.0,Syracuse,,PF,Tyler Lydon
Dionte Christmas,1408,nba,,True,,38.0,1986-09-15,FA,,1.0,,77.0,205.0,Temple,,SG,Dionte Christmas
Cameron Johnson,2091,nba,2.0,True,SF,28.0,1996-03-03,ACT,,5.0,1.0,80.0,210.0,North Carolina,BKN,PF,Cameron Johnson
Gabe Brown,2508,nba,,True,,24.0,2000-03-05,FA,,1.0,,80.0,215.0,Michigan State,,PF,Gabe Brown
Greg Whittington,2199,nba,,True,,31.0,1993-02-07,FA,,1.0,,80.0,210.0,Georgetown,,PF,Greg Whittington
Carsen Edwards,2064,nba,,True,,26.0,1998-03-12,FA,,3.0,,71.0,200.0,Purdue,,SG,Carsen Edwards
Avery Bradley,1284,nba,,True,,34.0,1990-11-26,FA,,12.0,,75.0,180.0,Texas,,SG,Avery Bradley
Sean East,2801,nba,,True,,,,FA,,0.0,,75.0,180.0,Missouri,,PG,Sean East
C.J. Watson,1073,nba,,True,,40.0,1984-04-17,FA,,10.0,,74.0,175.0,Tennessee,,PG,C.J. Watson
Gary Trent,1982,nba,5.0,True,SF,25.0,1999-01-18,ACT,,6.0,2.0,77.0,204.0,Duke,MIL,SG,Gary Trent
Moussa Diabate,2474,nba,14.0,True,C,22.0,2002-01-21,TWO-WAY,,2.0,3.0,81.0,210.0,Michigan,CHA,PF,Moussa Diabate
Svi Mykhailiuk,1907,nba,19.0,True,SG,27.0,1997-06-10,ACT,,6.0,4.0,79.0,205.0,Kansas,UTA,SF,Svi Mykhailiuk
Michael Gbinije,1684,nba,,True,,32.0,1992-06-05,FA,,1.0,,79.0,200.0,Syracuse,,SG,Michael Gbinije
Nikola Pekovic,1195,nba,,False,,38.0,1986-01-03,RET,,6.0,,83.0,307.0,,,C,Nikola Pekovic
Admiral Schofield,2023,nba,,True,,27.0,1997-03-30,FA,,3.0,,77.0,241.0,Tennessee,,PF,Admiral Schofield
Willie Reed,1461,nba,,True,,34.0,1990-05-16,FA,,3.0,,83.0,245.0,Saint Louis,,C,Willie Reed
MarJon Beauchamp,2481,nba,3.0,True,PG,24.0,2000-10-12,ACT,,2.0,6.0,79.0,199.0,Yakima Valley (WA),MIL,PF,MarJon Beauchamp
Isaiah Joe,2125,nba,11.0,True,SF,25.0,1999-07-02,ACT,,4.0,2.0,75.0,165.0,Arkansas,OKC,SG,Isaiah Joe
Kristaps Porzingis,1590,nba,8.0,True,C,29.0,1995-08-02,ACT,,8.0,1.0,87.0,240.0,,BOS,C,Kristaps Porzingis
Tim Frazier,1510,nba,,True,,34.0,1990-11-01,FA,,8.0,,73.0,170.0,Penn State,,PG,Tim Frazier
Isaiah Briscoe,1995,nba,,True,,28.0,1996-04-13,FA,,1.0,,75.0,215.0,Kentucky,,PG,Isaiah Briscoe
Mitch Creek,1914,nba,,True,,32.0,1992-04-27,FA,,1.0,,78.0,225.0,,,SF,Mitch Creek
Jaylen Brown,1711,nba,7.0,True,SF,28.0,1996-10-24,ACT,,8.0,1.0,78.0,237.0,California,BOS,SF,Jaylen Brown
Gerald Henderson,1148,nba,,False,,36.0,1987-12-09,RET,,8.0,,77.0,215.0,Duke,,SG,Gerald Henderson
Alan Williams,1649,nba,,True,,31.0,1993-01-28,FA,,4.0,,80.0,265.0,UC Santa Barbara,,PF,Alan Williams
Josh McRoberts,1150,nba,,False,,37.0,1987-02-28,RET,,11.0,,82.0,240.0,Duke,,PF,Josh McRoberts
Tyler Cavanaugh,1813,nba,,True,,30.0,1994-02-09,FA,,1.0,,81.0,238.0,George Washington,,PF,Tyler Cavanaugh
Aaron Henry,2330,nba,,True,,25.0,1999-08-30,FA,,1.0,,77.0,210.0,Michigan State,,SF,Aaron Henry
Frank Kaminsky,1609,nba,,True,,31.0,1993-04-04,FA,,7.0,,84.0,240.0,Wisconsin,,C,Frank Kaminsky
Emanuel Miller,2854,nba,,True,,24.0,2000-06-19,FA,,0.0,,79.0,215.0,,,PF,Emanuel Miller
Eric Mika,2109,nba,,True,,29.0,1995-01-05,FA,,1.0,,82.0,240.0,BYU,,PF,Eric Mika
Malik Beasley,1749,nba,5.0,True,SG,28.0,1996-11-26,ACT,,8.0,2.0,76.0,187.0,Florida State,DET,SG,Malik Beasley
Duane Washington,2320,nba,,True,,24.0,2000-03-24,FA,,2.0,,74.0,197.0,Ohio State,,SG,Duane Washington
James Anderson,1100,nba,,True,,35.0,1989-03-25,FA,,5.0,,78.0,210.0,Oklahoma State,,SG,James Anderson
Aaron Holiday,1895,nba,0.0,True,PG,28.0,1996-09-30,ACT,,6.0,3.0,72.0,185.0,UCLA,HOU,PG,Aaron Holiday
Javon Freeman-Liberty,2496,nba,,True,,25.0,1999-10-20,FA,,1.0,,75.0,190.0,DePaul,,PG,Javon Freeman-Liberty
Mario Hezonja,1660,nba,,True,,29.0,1995-02-25,FA,,5.0,,80.0,220.0,,,PF,Mario Hezonja
Kris Humphries,1279,nba,,False,,39.0,1985-02-06,RET,,13.0,,81.0,235.0,Minnesota,,PF,Kris Humphries
Brandon Goodwin,1991,nba,,True,,29.0,1995-10-02,FA,,4.0,,72.0,180.0,Florida Gulf Coast,,PG,Brandon Goodwin
Alex Len,1412,nba,25.0,True,C,31.0,1993-06-16,ACT,,11.0,3.0,84.0,250.0,Maryland,SAC,C,Alex Len
Ekpe Udoh,1387,nba,,False,,37.0,1987-05-20,RET,,7.0,,82.0,245.0,Baylor,,PF,Ekpe Udoh
