Name,player_id,sport,number,active,depth_chart_position,age,birth_day,status,birth_city,years_exp,depth_chart_order,height,weight,college,team,position
Tyler Lydon,1875,nba,,True,,28.0,1996-04-09,FA,,2.0,,82,225,Syracuse,,PF
Dionte Christmas,1408,nba,,True,,38.0,1986-09-15,FA,,1.0,,77,205,Temple,,SG
Cameron Johnson,2091,nba,2.0,True,SF,28.0,1996-03-03,ACT,,5.0,1.0,80,210,North Carolina,BKN,PF
Gabe Brown,2508,nba,,True,,24.0,2000-03-05,FA,,1.0,,80,215,Michigan State,,PF
Greg Whittington,2199,nba,,True,,31.0,1993-02-07,FA,,1.0,,80,210,Georgetown,,PF
Carsen Edwards,2064,nba,,True,,26.0,1998-03-12,FA,,3.0,,71,200,Purdue,,SG
Avery Bradley,1284,nba,,True,,34.0,1990-11-26,FA,,12.0,,75,180,Texas,,SG
Sean East,2801,nba,,True,,,,FA,,0.0,,75,180,Missouri,,PG
C.J. Watson,1073,nba,,True,,40.0,1984-04-17,FA,,10.0,,74,175,Tennessee,,PG
Gary Trent,1982,nba,5.0,True,SF,25.0,1999-01-18,ACT,,6.0,2.0,77,204,Duke,MIL,SG
Moussa Diabate,2474,nba,14.0,True,C,22.0,2002-01-21,TWO-WAY,,2.0,3.0,81,210,Michigan,CHA,PF
Svi Mykhailiuk,1907,nba,19.0,True,SG,27.0,1997-06-10,ACT,,6.0,4.0,79,205,Kansas,UTA,SF
Michael Gbinije,1684,nba,,True,,32.0,1992-06-05,FA,,1.0,,79,200,Syracuse,,SG
Nikola Pekovic,1195,nba,,False,,38.0,1986-01-03,RET,,6.0,,83,307,,,C
Admiral Schofield,2023,nba,,True,,27.0,1997-03-30,FA,,3.0,,77,241,Tennessee,,PF
Willie Reed,1461,nba,,True,,34.0,1990-05-16,FA,,3.0,,83,245,Saint Louis,,C
MarJon Beauchamp,2481,nba,3.0,True,PG,24.0,2000-10-12,ACT,,2.0,6.0,79,199,Yakima Valley (WA),MIL,PF
Isaiah Joe,2125,nba,11.0,True,SF,25.0,1999-07-02,ACT,,4.0,2.0,75,165,Arkansas,OKC,SG
Kristaps Porzingis,1590,nba,8.0,True,C,29.0,1995-08-02,ACT,,8.0,1.0,87,240,,BOS,C
Tim Frazier,1510,nba,,True,,34.0,1990-11-01,FA,,8.0,,73,170,Penn State,,PG
Isaiah Briscoe,1995,nba,,True,,28.0,1996-04-13,FA,,1.0,,75,215,Kentucky,,PG
Mitch Creek,1914,nba,,True,,32.0,1992-04-27,FA,,1.0,,78,225,,,SF
Jaylen Brown,1711,nba,7.0,True,SF,28.0,1996-10-24,ACT,,8.0,1.0,78,237,California,BOS,SF
Gerald Henderson,1148,nba,,False,,36.0,1987-12-09,RET,,8.0,,77,215,Duke,,SG
Alan Williams,1649,nba,,True,,31.0,1993-01-28,FA,,4.0,,80,265,UC Santa Barbara,,PF
Josh McRoberts,1150,nba,,False,,37.0,1987-02-28,RET,,11.0,,82,240,Duke,,PF
Tyler Cavanaugh,1813,nba,,True,,30.0,1994-02-09,FA,,1.0,,81,238,George Washington,,PF
Aaron Henry,2330,nba,,True,,25.0,1999-08-30,FA,,1.0,,77,210,Michigan State,,SF
Frank Kaminsky,1609,nba,,True,,31.0,1993-04-04,FA,,7.0,,84,240,Wisconsin,,C
Emanuel Miller,2854,nba,,True,,24.0,2000-06-19,FA,,0.0,,79,215,,,PF
Eric Mika,2109,nba,,True,,29.0,1995-01-05,FA,,1.0,,82,240,BYU,,PF
Malik Beasley,1749,nba,5.0,True,SG,28.0,1996-11-26,ACT,,8.0,2.0,76,187,Florida State,DET,SG
Duane Washington,2320,nba,,True,,24.0,2000-03-24,FA,,2.0,,74,197,Ohio State,,SG
James Anderson,1100,nba,,True,,35.0,1989-03-25,FA,,5.0,,78,210,Oklahoma State,,SG
Aaron Holiday,1895,nba,0.0,True,PG,28.0,1996-09-30,ACT,,6.0,3.0,72,185,UCLA,HOU,PG
Javon Freeman-Liberty,2496,nba,,True,,25.0,1999-10-20,FA,,1.0,,75,190,DePaul,,PG
Mario Hezonja,1660,nba,,True,,29.0,1995-02-25,FA,,5.0,,80,220,,,PF
Kris Humphries,1279,nba,,False,,39.0,1985-02-06,RET,,13.0,,81,235,Minnesota,,PF
Brandon Goodwin,1991,nba,,True,,29.0,1995-10-02,FA,,4.0,,72,180,Florida Gulf Coast,,PG
Alex Len,1412,nba,25.0,True,C,31.0,1993-06-16,ACT,,11.0,3.0,84,250,Maryland,SAC,C
Ekpe Udoh,1387,nba,,False,,37.0,1987-05-20,RET,,7.0,,82,245,Baylor,,PF
Kevin Garnett,1172,nba,,False,,48.0,1976-05-19,RET,,21.0,,83,253,,,PF
Jordan Bone,2025,nba,,True,,27.0,1997-11-05,FA,,1.0,,74,180,Tennessee,,PG
Adreian Payne,1523,nba,,False,,33.0,1991-02-19,RET,,4.0,,82,237,Michigan State,,PF
Alex Ducas,2782,nba,88.0,True,SF,23.0,2000-12-11,TWO-WAY,,0.0,9.0,79,220,Saint Mary's,OKC,PG
CJ Elleby,2160,nba,,True,,24.0,2000-06-16,FA,,2.0,,78,200,Washington State,,SF
Greg Smith,1009,nba,,True,,33.0,1991-01-08,FA,,5.0,,82,250,Fresno State,,PF
Taevion Kinsey,2678,nba,,True,,24.0,2000-03-10,FA,,1.0,,77,190,Marshall,,PG
Sean Kilpatrick,1524,nba,,True,,34.0,1990-01-06,FA,,4.0,,76,212,Cincinnati,,SG
Paul Millsap,1250,nba,,True,,39.0,1985-02-10,FA,,16.0,,79,257,Louisiana Tech,,PF
Izaiah Brockington,2519,nba,,True,,25.0,1999-07-12,FA,,2.0,,76,196,Iowa State,,PG
Baylor Scheierman,2721,nba,55.0,True,SF,24.0,2000-09-26,ACT,,0.0,6.0,78,213,Creighton,BOS,PG
