Cleaned Name,original_key,data,Unnamed: 0,Rank,Name,Age,Team,Positions,Value
Tyler Lydon,Tyler Lydon,"{'original_key': '1875', 'player_id': '1875', 'sport': 'nba', 'number': None, 'practice_description': None, 'search_first_name': 'tyler', 'rotowire_id': None, 'active': True, 'depth_chart_position': None, 'age': 28, 'competitions': [], 'swish_id': None, 'oddsjam_id': None, 'birth_date': '1996-04-09', 'last_name': 'Lydon', 'height': '82', 'status': 'FA', 'yahoo_id': None, 'team_changed_at': None, 'birth_state': None, 'fantasy_positions': ['PF', 'SF'], 'first_name': 'Tyler', 'birth_city': None, 'years_exp': 2, 'sportradar_id': 'f9b41748-5ab8-4ff7-9fc8-ecfec9f12d4b', 'fantasy_data_id': None, 'depth_chart_order': None, 'search_full_name': 'tylerlydon', 'team_abbr': None, 'opta_id': None, 'gsis_id': None, 'rotoworld_id': None, 'high_school': 'New Hampton (NH)', 'search_last_name': 'lydon', 'news_updated': None, 'espn_id': None, 'injury_start_date': None, 'hashtag': '#tylerlydon-NBA-FA', 'college': 'Syracuse', 'metadata': {'channel_id': '1153292335149240320'}, 'stats_id': None, 'practice_participation': None, 'full_name': 'Tyler Lydon', 'injury_status': None, 'team': None, 'position': 'PF', 'injury_notes': None, 'pandascore_id': None, 'birth_country': None, 'weight': '225', 'search_rank': None, 'injury_body_part': None}",,,,,,,
Dionte Christmas,Dionte Christmas,"{'original_key': '1408', 'player_id': '1408', 'sport': 'nba', 'number': None, 'practice_description': None, 'search_first_name': 'dionte', 'rotowire_id': None, 'active': True, 'depth_chart_position': None, 'age': 38, 'competitions': [], 'swish_id': None, 'oddsjam_id': None, 'birth_date': '1986-09-15', 'last_name': 'Christmas', 'height': '77', 'status': 'FA', 'yahoo_id': None, 'team_changed_at': None, 'birth_state': None, 'fantasy_positions': ['PG', 'SG'], 'first_name': 'Dionte', 'birth_city': None, 'years_exp': 1, 'sportradar_id': '11612dd6-431c-486d-88aa-789f3adf8149', 'fantasy_data_id': None, 'depth_chart_order': None, 'search_full_name': 'diontechristmas', 'team_abbr': None, 'opta_id': None, 'gsis_id': None, 'rotoworld_id': None, 'high_school': 'Samuel Fels (PA)', 'search_last_name': 'christmas', 'news_updated': None, 'espn_id': None, 'injury_start_date': None, 'hashtag': '#diontechristmas-NBA-FA', 'college': 'Temple', 'metadata': {'channel_id': '1153292564640583680'}, 'stats_id': None, 'practice_participation': None, 'full_name': 'Dionte Christmas', 'injury_status': None, 'team': None, 'position': 'SG', 'injury_notes': None, 'pandascore_id': None, 'birth_country': None, 'weight': '205', 'search_rank': None, 'injury_body_part': None}",,,,,,,
Cameron Johnson,Cameron Johnson,"{'original_key': '2091', 'player_id': '2091', 'sport': 'nba', 'number': 2, 'practice_description': None, 'search_first_name': 'cameron', 'rotowire_id': 4916, 'active': True, 'depth_chart_position': 'SF', 'age': 28, 'competitions': [], 'swish_id': 843005, 'oddsjam_id': 'C9AF28084D8F', 'birth_date': '1996-03-03', 'last_name': 'Johnson', 'height': '80', 'status': 'ACT', 'yahoo_id': None, 'team_changed_at': None, 'birth_state': None, 'fantasy_positions': ['PF', 'SF'], 'first_name': 'Cameron', 'birth_city': None, 'years_exp': 5, 'sportradar_id': '2fe5b749-7bd4-4dbc-acfb-6d675f541e37', 'fantasy_data_id': None, 'depth_chart_order': 1, 'search_full_name': 'cameronjohnson', 'team_abbr': None, 'opta_id': None, 'gsis_id': None, 'rotoworld_id': None, 'high_school': 'Our Lady of the Sacred Heart (PA)', 'search_last_name': 'johnson', 'news_updated': 1732860349443, 'espn_id': None, 'injury_start_date': None, 'hashtag': '#cameronjohnson-NBA-BKN-2', 'college': 'North Carolina', 'metadata': {'channel_id': '1113936501550350336'}, 'stats_id': None, 'practice_participation': None, 'full_name': 'Cameron Johnson', 'injury_status': 'GTD', 'team': 'BKN', 'position': 'PF', 'injury_notes': 'Sprain', 'pandascore_id': None, 'birth_country': None, 'weight': '210', 'search_rank': 143, 'injury_body_part': 'Ankle'}",125.0,126.0,Cameron Johnson,28.7,BKN,"SF,PF",3131.644363310834
Gabe Brown,Gabe Brown,"{'original_key': '2508', 'player_id': '2508', 'sport': 'nba', 'number': None, 'practice_description': None, 'search_first_name': 'gabe', 'rotowire_id': 5748, 'active': True, 'depth_chart_position': None, 'age': 24, 'competitions': [], 'swish_id': 1133816, 'oddsjam_id': None, 'birth_date': '2000-03-05', 'last_name': 'Brown', 'height': '80', 'status': 'FA', 'yahoo_id': None, 'team_changed_at': None, 'birth_state': None, 'fantasy_positions': ['PF', 'SF'], 'first_name': 'Gabe', 'birth_city': None, 'years_exp': 1, 'sportradar_id': 'b1275a1f-6ede-44f7-b1a1-091399a6ff5a', 'fantasy_data_id': None, 'depth_chart_order': None, 'search_full_name': 'gabebrown', 'team_abbr': None, 'opta_id': None, 'gsis_id': None, 'rotoworld_id': None, 'high_school': 'Belleville (MI)', 'search_last_name': 'brown', 'news_updated': 1668158495240, 'espn_id': None, 'injury_start_date': None, 'hashtag': '#gabebrown-NBA-FA', 'college': 'Michigan State', 'metadata': {'channel_id': '1114318987795124224'}, 'stats_id': None, 'practice_participation': None, 'full_name': 'Gabe Brown', 'injury_status': None, 'team': None, 'position': 'PF', 'injury_notes': None, 'pandascore_id': None, 'birth_country': None, 'weight': '215', 'search_rank': None, 'injury_body_part': None}",,,,,,,
Greg Whittington,Greg Whittington,"{'original_key': '2199', 'player_id': '2199', 'sport': 'nba', 'number': None, 'practice_description': None, 'search_first_name': 'greg', 'rotowire_id': 3810, 'active': True, 'depth_chart_position': None, 'age': 31, 'competitions': [], 'swish_id': None, 'oddsjam_id': None, 'birth_date': '1993-02-07', 'last_name': 'Whittington', 'height': '80', 'status': 'FA', 'yahoo_id': None, 'team_changed_at': None, 'birth_state': None, 'fantasy_positions': ['PF', 'SF'], 'first_name': 'Greg', 'birth_city': None, 'years_exp': 1, 'sportradar_id': 'd0cb08b3-51b4-4700-9311-4e111df81d49', 'fantasy_data_id': None, 'depth_chart_order': None, 'search_full_name': 'gregwhittington', 'team_abbr': None, 'opta_id': None, 'gsis_id': None, 'rotoworld_id': None, 'high_school': 'Oakland Mills (MD)', 'search_last_name': 'whittington', 'news_updated': 1617894045420, 'espn_id': None, 'injury_start_date': None, 'hashtag': '#gregwhittington-NBA-FA', 'college': 'Georgetown', 'metadata': {'channel_id': '1153292679090556928'}, 'stats_id': None, 'practice_participation': None, 'full_name': 'Greg Whittington', 'injury_status': None, 'team': None, 'position': 'PF', 'injury_notes': None, 'pandascore_id': None, 'birth_country': None, 'weight': '210', 'search_rank': None, 'injury_body_part': None}",,,,,,,
Carsen Edwards,Carsen Edwards,"{'original_key': '2064', 'player_id': '2064', 'sport': 'nba', 'number': None, 'practice_description': None, 'search_first_name': 'carsen', 'rotowire_id': 4764, 'active': True, 'depth_chart_position': None, 'age': 26, 'competitions': [], 'swish_id': 945110, 'oddsjam_id': None, 'birth_date': '1998-03-12', 'last_name': 'Edwards', 'height': '71', 'status': 'FA', 'yahoo_id': None, 'team_changed_at': None, 'birth_state': None, 'fantasy_positions': ['PG', 'SG'], 'first_name': 'Carsen', 'birth_city': None, 'years_exp': 3, 'sportradar_id': 'd1340a44-b873-425e-a1c6-2545a0ef8398', 'fantasy_data_id': None, 'depth_chart_order': None, 'search_full_name': 'carsenedwards', 'team_abbr': None, 'opta_id': None, 'gsis_id': None, 'rotoworld_id': None, 'high_school': 'Atascocita (TX)', 'search_last_name': 'edwards', 'news_updated': 1657738242906, 'espn_id': None, 'injury_start_date': None, 'hashtag': '#carsenedwards-NBA-FA', 'college': 'Purdue', 'metadata': {'channel_id': '1153292307227758592'}, 'stats_id': None, 'practice_participation': None, 'full_name': 'Carsen Edwards', 'injury_status': None, 'team': None, 'position': 'SG', 'injury_notes': None, 'pandascore_id': None, 'birth_country': None, 'weight': '200', 'search_rank': None, 'injury_body_part': None}",,,,,,,
Avery Bradley,Avery Bradley,"{'original_key': '1284', 'player_id': '1284', 'sport': 'nba', 'number': None, 'practice_description': None, 'search_first_name': 'avery', 'rotowire_id': 3112, 'active': True, 'depth_chart_position': None, 'age': 34, 'competitions': [], 'swish_id': 513607, 'oddsjam_id': None, 'birth_date': '1990-11-26', 'last_name': 'Bradley', 'height': '75', 'status': 'FA', 'yahoo_id': None, 'team_changed_at': None, 'birth_state': None, 'fantasy_positions': ['SF', 'SG'], 'first_name': 'Avery', 'birth_city': None, 'years_exp': 12, 'sportradar_id': 'b23917d2-bb0d-49fa-a384-80d994561d0c', 'fantasy_data_id': None, 'depth_chart_order': None, 'search_full_name': 'averybradley', 'team_abbr': None, 'opta_id': None, 'gsis_id': None, 'rotoworld_id': None, 'high_school': 'Findlay Prep (NV)', 'search_last_name': 'bradley', 'news_updated': 1648865720916, 'espn_id': None, 'injury_start_date': None, 'hashtag': '#averybradley-NBA-FA', 'college': 'Texas', 'metadata': {'channel_id': '1153292352975032320'}, 'stats_id': None, 'practice_participation': None, 'full_name': 'Avery Bradley', 'injury_status': None, 'team': None, 'position': 'SG', 'injury_notes': None, 'pandascore_id': None, 'birth_country': None, 'weight': '180', 'search_rank': None, 'injury_body_part': None}",,,,,,,
Sean East,Sean East,"{'original_key': '2801', 'player_id': '2801', 'sport': 'nba', 'number': None, 'practice_description': None, 'search_first_name': 'sean', 'rotowire_id': 6347, 'active': True, 'depth_chart_position': None, 'age': None, 'competitions': [], 'swish_id': None, 'oddsjam_id': None, 'birth_date': None, 'last_name': 'East', 'height': '75', 'status': 'FA', 'yahoo_id': None, 'team_changed_at': None, 'birth_state': None, 'fantasy_positions': ['PG', 'SG'], 'first_name': 'Sean', 'birth_city': None, 'years_exp': 0, 'sportradar_id': '5ec0b4b3-dd56-434f-9f08-81e40518b327', 'fantasy_data_id': None, 'depth_chart_order': None, 'search_full_name': 'seaneast', 'team_abbr': None, 'opta_id': None, 'gsis_id': None, 'rotoworld_id': None, 'high_school': None, 'search_last_name': 'east', 'news_updated': None, 'espn_id': None, 'injury_start_date': None, 'hashtag': '#seaneast-NBA-FA', 'college': 'Missouri', 'metadata': {'channel_id': '1114062286198149120'}, 'stats_id': None, 'practice_participation': None, 'full_name': 'Sean East', 'injury_status': None, 'team': None, 'position': 'PG', 'injury_notes': None, 'pandascore_id': None, 'birth_country': None, 'weight': '180', 'search_rank': None, 'injury_body_part': None}",,,,,,,
C.J. Watson,C.J. Watson,"{'original_key': '1073', 'player_id': '1073', 'sport': 'nba', 'number': None, 'practice_description': None, 'search_first_name': 'cj', 'rotowire_id': None, 'active': True, 'depth_chart_position': None, 'age': 40, 'competitions': [], 'swish_id': None, 'oddsjam_id': None, 'birth_date': '1984-04-17', 'last_name': 'Watson', 'height': '74', 'status': 'FA', 'yahoo_id': None, 'team_changed_at': None, 'birth_state': None, 'fantasy_positions': ['PG', 'SG'], 'first_name': 'C.J.', 'birth_city': None, 'years_exp': 10, 'sportradar_id': '7671f7d9-b7f8-4602-a32d-19f4f1ddae75', 'fantasy_data_id': None, 'depth_chart_order': None, 'search_full_name': 'cjwatson', 'team_abbr': None, 'opta_id': None, 'gsis_id': None, 'rotoworld_id': None, 'high_school': 'Bishop Gorman (NV)', 'search_last_name': 'watson', 'news_updated': None, 'espn_id': None, 'injury_start_date': None, 'hashtag': '#cjwatson-NBA-FA', 'college': 'Tennessee', 'metadata': {'channel_id': '1153292613843963904'}, 'stats_id': None, 'practice_participation': None, 'full_name': 'C.J. Watson', 'injury_status': None, 'team': None, 'position': 'PG', 'injury_notes': None, 'pandascore_id': None, 'birth_country': None, 'weight': '175', 'search_rank': None, 'injury_body_part': None}",,,,,,,
Gary Trent,Gary Trent,"{'original_key': '1982', 'player_id': '1982', 'sport': 'nba', 'number': 5, 'practice_description': None, 'search_first_name': 'gary', 'rotowire_id': 4433, 'active': True, 'depth_chart_position': 'SF', 'age': 25, 'competitions': [], 'swish_id': 1060908, 'oddsjam_id': 'E742754A7BD0', 'birth_date': '1999-01-18', 'last_name': 'Trent', 'height': '77', 'status': 'ACT', 'yahoo_id': None, 'team_changed_at': None, 'birth_state': None, 'fantasy_positions': ['PG', 'SG'], 'first_name': 'Gary', 'birth_city': None, 'years_exp': 6, 'sportradar_id': '62daf16f-0c4c-46ae-9e54-0d34d6fdef85', 'fantasy_data_id': None, 'depth_chart_order': 2, 'search_full_name': 'garytrent', 'team_abbr': None, 'opta_id': None, 'gsis_id': None, 'rotoworld_id': None, 'high_school': 'Prolific Prep (CA)', 'search_last_name': 'trent', 'news_updated': 1732727448312, 'espn_id': None, 'injury_start_date': None, 'hashtag': '#garytrent-NBA-MIL-5', 'college': 'Duke', 'metadata': {'channel_id': '1119029907645558784'}, 'stats_id': None, 'practice_participation': None, 'full_name': 'Gary Trent', 'injury_status': None, 'team': 'MIL', 'position': 'SG', 'injury_notes': None, 'pandascore_id': None, 'birth_country': None, 'weight': '204', 'search_rank': 172, 'injury_body_part': None}",189.0,190.0,Gary Trent Jr.,25.9,MIL,"PG,SG",2245.257455786177
