Rank,Name,Age,Team,Positions,Value,cleaned_name,player_id,sport,number,active,depth_chart_position,age,birth_day,status,years_exp,depth_chart_order,height,weight,college,team,both
1.0,Victor Wembanyama,20.9,SA,C,9998.08,Victor Wembanyama,2577,nba,1.0,True,C,20.0,2004-01-04,ACT,1.0,1.0,87.0,235.0,,SAS,True
2.0,Shai Gilgeous-Alexander,26.4,OKC,PG,9996.16,Shai Gilgeous-Alexander,1957,nba,2.0,True,PG,26.0,1998-07-12,ACT,6.0,1.0,78.0,195.0,Kentucky,OKC,True
3.0,Luka Doncic,25.7,DAL,"PG,SG",9994.24,Luka Doncic,1970,nba,77.0,True,PG,25.0,1999-02-28,ACT,6.0,1.0,79.0,230.0,,DAL,True
4.0,Nikola Jokic,29.8,DEN,C,9992.32,Nikola Jokic,1658,nba,15.0,True,C,29.0,1995-02-19,ACT,9.0,1.0,83.0,284.0,,DEN,True
5.0,Chet Holmgren,22.6,OKC,"PF,C",9990.4,Chet Holmgren,2455,nba,7.0,True,PF,22.0,2002-05-01,ACT,1.0,8.0,85.0,213.0,Gonzaga,OKC,True
6.0,Jayson Tatum,26.7,BOS,"SF,PF",9701.763180038326,Jayson Tatum,1822,nba,0.0,True,PF,26.0,1998-03-03,ACT,7.0,1.0,80.0,224.0,Duke,BOS,True
7.0,Tyrese Haliburton,24.7,IND,"PG,SG",9369.104018261303,Tyrese Haliburton,2161,nba,0.0,True,PG,24.0,2000-02-29,ACT,4.0,1.0,77.0,190.0,Iowa State,IND,True
8.0,Cade Cunningham,23.2,DET,"PG,SG",9080.941545081365,Cade Cunningham,2267,nba,2.0,True,PG,23.0,2001-09-25,ACT,3.0,1.0,78.0,220.0,Oklahoma State,DET,True
9.0,Trae Young,26.2,ATL,PG,8826.764230022407,Trae Young,1945,nba,11.0,True,PG,26.0,1998-09-19,ACT,6.0,1.0,73.0,164.0,Oklahoma,ATL,True
10.0,Scottie Barnes,23.3,TOR,"SG,SF,PF",8599.394873867746,Scottie Barnes,2289,nba,4.0,True,PG,23.0,2001-08-01,ACT,3.0,1.0,79.0,237.0,Florida State,TOR,True
11.0,Anthony Edwards,23.3,MIN,"SG,SF",8393.714272536286,Anthony Edwards,2133,nba,5.0,True,SG,23.0,2001-08-05,ACT,4.0,1.0,76.0,230.0,Georgia,MIN,True
12.0,Giannis Antetokounmpo,30.0,MIL,"PF,C",8205.942595065448,Giannis Antetokounmpo,1380,nba,34.0,True,PF,29.0,1994-12-06,ACT,11.0,1.0,83.0,243.0,,MIL,True
13.0,LaMelo Ball,23.3,CHA,"PG,SG",8033.209396153318,LaMelo Ball,2179,nba,1.0,True,PG,23.0,2001-08-22,ACT,4.0,1.0,79.0,180.0,,CHA,True
14.0,Devin Booker,28.1,PHO,"PG,SG",7873.283433288427,Devin Booker,1648,nba,1.0,True,SG,28.0,1996-10-30,ACT,9.0,1.0,77.0,206.0,Kentucky,PHX,True
15.0,Evan Mobley,23.4,CLE,"PF,C",7724.395923851828,Evan Mobley,2259,nba,4.0,True,PF,23.0,2001-06-18,ACT,3.0,1.0,83.0,215.0,USC,CLE,True
16.0,Alperen Sengün,22.3,HOU,C,7585.1209601084865,Alperen Sengun,2308,nba,28.0,True,C,22.0,2002-07-25,ACT,3.0,1.0,83.0,255.0,,HOU,True
17.0,Jalen Williams,23.6,OKC,"SG,SF,PF,C",7454.292241746013,Jalen Williams,2453,nba,8.0,True,PF,23.0,2001-04-14,ACT,2.0,1.0,77.0,211.0,Santa Clara,OKC,True
18.0,Tyrese Maxey,24.1,PHI,"PG,SG",7330.94364504953,Tyrese Maxey,2126,nba,0.0,True,PG,24.0,2000-11-04,ACT,4.0,1.0,74.0,200.0,Kentucky,PHI,True
19.0,Donovan Mitchell,28.2,CLE,"PG,SG",7214.265881918432,Donovan Mitchell,1845,nba,45.0,True,SG,28.0,1996-09-07,ACT,7.0,1.0,75.0,215.0,Louisville,CLE,True
